Date,Mkt-RF,SMB,HML,RF,AAPL,AMZN,GOOG,MSFT,AAPL-RF,AMZN-RF,GOOG-RF,MSFT-RF,Mkt
2019-01-31,0.084,0.0288,-0.0045000000000000005,0.0021,0.05515394076024127,0.14431709005232074,0.07798308402679233,0.0281580249631479,0.053053940760241274,0.14221709005232075,0.07588308402679232,0.026058024963147897,0.08610000000000001
2019-02-28,0.034,0.0206,-0.0271,0.0018,0.04477664029558226,-0.04590598487961817,0.0031799103327765366,0.07735734599326749,0.04297664029558226,-0.04770598487961817,0.0013799103327765366,0.0755573459932675,0.035800000000000005
2019-03-31,0.011000000000000001,-0.0305,-0.0412,0.0019,0.09702591716228293,0.08593570731353273,0.04767311518485151,0.05275375084914091,0.09512591716228293,0.08403570731353273,0.04577311518485151,0.050853750849140913,0.012900000000000002
2019-04-30,0.0397,-0.0172,0.0216,0.0021,0.05643562641964284,0.08185874546916994,0.012929226744255118,0.10734304135627593,0.05433562641964284,0.07975874546916993,0.010829226744255118,0.10524304135627592,0.0418
2019-05-31,-0.0694,-0.0131,-0.023700000000000002,0.0021,-0.12421291951066415,-0.07861319674779288,-0.07139368793672218,-0.04948090952530004,-0.12631291951066415,-0.08071319674779288,-0.07349368793672219,-0.05158090952530004,-0.0673
2019-06-30,0.0693,0.0028000000000000004,-0.006999999999999999,0.0018,0.13051905709624445,0.06679174655008091,-0.020586605934194924,0.0831177335720239,0.12871905709624445,0.06499174655008091,-0.022386605934194923,0.0813177335720239,0.0711
2019-07-31,0.011899999999999999,-0.019299999999999998,0.004699999999999999,0.0019,0.07639480825260381,-0.014179183493694736,0.12560705458347265,0.017243896112100865,0.07449480825260381,-0.016079183493694735,0.12370705458347266,0.015343896112100864,0.0138
2019-08-31,-0.0258,-0.0239,-0.0479,0.0016,-0.016461366439340153,-0.048473822697145064,-0.023490149734099353,0.01503680069331681,-0.018061366439340153,-0.05007382269714506,-0.025090149734099353,0.013436800693316809,-0.0242
2019-09-30,0.0143,-0.0097,0.0677,0.0018,0.07296155463081555,-0.022732743159706414,0.026007958794205033,0.008487202333462118,0.07116155463081555,-0.024532743159706414,0.024207958794205033,0.006687202333462119,0.0161
2019-10-31,0.0206,0.0029,-0.019,0.0016,0.11068442241744147,0.023474701269111886,0.03372430402166815,0.031216081404399576,0.10908442241744147,0.021874701269111885,0.03212430402166815,0.029616081404399575,0.0222
2019-11-30,0.0388,0.0078000000000000005,-0.0199,0.0012,0.07755424116129306,0.013587301227403925,0.035592205923616005,0.05946209756766119,0.07635424116129305,0.012387301227403925,0.034392205923616005,0.05826209756766119,0.04
2019-12-31,0.0277,0.0073,0.0178,0.0014000000000000002,0.09878378791765008,0.026121694264473083,0.02456772085167036,0.04174921004462284,0.09738378791765008,0.024721694264473085,0.023167720851670362,0.040349210044622844,0.0291
2020-01-31,-0.0011,-0.0313,-0.0625,0.0013,0.054010001352402304,0.0870638027865227,0.07270649874359725,0.0794549145393848,0.0527100013524023,0.08576380278652271,0.07140649874359725,0.0781549145393848,0.00019999999999999987
2020-02-29,-0.08130000000000001,0.010700000000000001,-0.038,0.0012,-0.11470139230279008,-0.06221372013363058,-0.06616790789330129,-0.04568832475051432,-0.11590139230279009,-0.06341372013363059,-0.0673679078933013,-0.04688832475051432,-0.0801
2020-03-31,-0.13390000000000002,-0.0479,-0.1388,0.0013,-0.06976168681116723,0.035020571318223226,-0.13179725054905644,-0.026541336958461614,-0.07106168681116723,0.03372057131822322,-0.13309725054905644,-0.027841336958461613,-0.13260000000000002
2020-04-30,0.1365,0.0245,-0.0134,0.0,0.1553735148014237,0.2689001176660717,0.15982845128978895,0.13632583680534016,0.1553735148014237,0.2689001176660717,0.15982845128978895,0.13632583680534016,0.1365
2020-05-31,0.0558,0.024900000000000002,-0.048499999999999995,0.0001,0.08509451327584805,-0.012784941240091774,0.059510877146978336,0.025391361821302194,0.08499451327584805,-0.012884941240091773,0.05941087714697833,0.025291361821302195,0.055900000000000005
2020-06-30,0.0246,0.0269,-0.0223,0.0001,0.14738619473937709,0.12956672853391127,-0.010714405378333902,0.11055951379790607,0.1472861947393771,0.12946672853391128,-0.010814405378333902,0.11045951379790607,0.0247
2020-07-31,0.057699999999999994,-0.023,-0.0144,0.0001,0.16513167141922747,0.1471136218500213,0.04905882018135732,0.007370410755764389,0.16503167141922748,0.14701362185002131,0.04895882018135732,0.007270410755764389,0.0578
2020-08-31,0.07629999999999999,-0.0028000000000000004,-0.0288,0.0001,0.21656925103966973,0.09046103369298208,0.10197177531568591,0.10275200774312321,0.21646925103966974,0.09036103369298208,0.1018717753156859,0.1026520077431232,0.0764
2020-09-30,-0.0363,-0.0003,-0.0265,0.0001,-0.10252622429926106,-0.08757859185260553,-0.10071103865895958,-0.06739673770152643,-0.10262622429926106,-0.08767859185260553,-0.10081103865895959,-0.06749673770152644,-0.036199999999999996
2020-10-31,-0.021,0.042699999999999995,0.0431,0.0001,-0.060011980554451894,-0.03575408533520552,0.1030279538743224,-0.03736974266687987,-0.060111980554451896,-0.035854085335205524,0.1029279538743224,-0.03746974266687987,-0.020900000000000002
2020-11-30,0.1247,0.0572,0.0215,0.0001,0.09549299911975329,0.043439868865324804,0.08619932802550356,0.06006033744250283,0.09539299911975328,0.0433398688653248,0.08609932802550356,0.05996033744250283,0.12480000000000001
2020-12-31,0.0463,0.0479,-0.0134,0.0001,0.11457350745694628,0.028058383014484267,-0.005031918829750959,0.03900593688114551,0.11447350745694627,0.027958383014484268,-0.005131918829750959,0.038905936881145506,0.046400000000000004
